day,norad_id,name,shell,period_min,inclination,delta_period,delta_inc
2026-03-29,58522,STARLINK-31023,43,89.7,43,-0.210007,0
2026-03-29,54826,STARLINK-5107,43,94.63,43,-0.209999,0
2026-03-29,57700,STARLINK-30332,43,95.56,43,-0.209999,0
2026-03-29,67993,STARLINK-36975,43,93.09,43,0.189995,0
2026-03-29,55478,STARLINK-5691,43,95.3,43,-0.169998,0
2026-03-29,68010,STARLINK-36953,43,94.27,43,0.139999,0
2026-03-29,67988,STARLINK-36734,43,93.08,43,0.130005,0
2026-03-29,57370,STARLINK-5353,43,95.63,43,-0.130005,0
2026-03-29,67934,STARLINK-36861,43,93.09,43,0.129997,0
2026-03-29,57700,STARLINK-30332,43,95.43,43,-0.120003,0
2026-03-29,68007,STARLINK-36592,43,94.17,43,0.119995,0
2026-03-29,67989,STARLINK-36957,43,94.2,43,0.110001,0
2026-03-29,57993,STARLINK-30536,43,94.4,43,0.110001,0
2026-03-29,67837,STARLINK-36649,43,94.27,43,0.109993,0
2026-03-29,67824,STARLINK-36647,43,94.27,43,0.109993,0
2026-03-29,67834,STARLINK-36655,43,94.27,43,0.109993,0
2026-03-29,57377,STARLINK-6358,43,95.68,43,-0.0999985,0
2026-03-29,68011,STARLINK-36991,43,93.02,43,0.0999985,0
2026-03-29,68014,STARLINK-36985,43,94.16,43,0.090004,0
2026-03-29,68006,STARLINK-36889,43,93.8,43,0.090004,0
2026-03-29,68012,STARLINK-36936,43,93.44,43,0.090004,0
2026-03-29,57352,STARLINK-6297,43,95.34,43,-0.090004,0
2026-03-29,67998,STARLINK-36988,43,93.36,43,0.090004,0
2026-03-29,67951,STARLINK-36897,43,92.94,43,0.090004,0
2026-03-29,67996,STARLINK-36979,43,93.99,43,0.0899963,0
2026-03-29,68009,STARLINK-36956,43,93.78,43,0.0899963,0
2026-03-29,54826,STARLINK-5107,43,94.54,43,-0.0899963,0
2026-03-29,57375,STARLINK-6363,43,95.7,43,-0.0800018,0
2026-03-29,68008,STARLINK-36911,43,93.91,43,0.0800018,0
2026-03-29,57993,STARLINK-30536,43,94.32,43,-0.0800018,0
2026-03-29,63555,STARLINK-11687 [DTC],43,89.52,42.99,-0.0800018,0
2026-03-29,67934,STARLINK-36861,43,92.96,43,0.0800018,0
2026-03-29,68000,STARLINK-36931,43,93.47,43,0.0800018,0
2026-03-29,67997,STARLINK-36994,43,93.16,43,0.0800018,0
2026-03-29,55478,STARLINK-5691,43,95.22,43,-0.0800018,0
2026-03-29,55477,STARLINK-5685,43,95.3,43,0.0800018,0
2026-03-29,58456,STARLINK-30960,43,89.7,42.98,-0.0800018,0
2026-03-29,67923,STARLINK-36406,43,94.02,43,0.0799942,0
2026-03-29,67999,STARLINK-36926,43,93.13,43,0.0799942,0
2026-03-29,67994,STARLINK-36993,43,93.91,43,0.0700073,0
2026-03-29,67993,STARLINK-36975,43,93.18,43,0.0699997,0
2026-03-29,67934,STARLINK-36861,43,93.18,43,0.0699997,0
2026-03-29,68000,STARLINK-36931,43,93.56,43,0.0699997,0
2026-03-29,67999,STARLINK-36926,43,93.22,43,0.0699997,0
2026-03-29,67998,STARLINK-36988,43,93.53,43,0.0699997,0
2026-03-29,67992,STARLINK-36950,43,92.96,43,0.0699997,0
2026-03-29,67942,STARLINK-36914,43,93.08,43,0.0699997,0
2026-03-29,67833,STARLINK-36659,43,94.21,43,0.0699997,0
2026-03-29,67822,STARLINK-36643,43,94.27,43,0.0699997,0
2026-03-29,67821,STARLINK-36644,43,94.27,43,0.0699997,0
2026-03-29,67913,STARLINK-36690,43,94.27,43,0.0699997,0
2026-03-29,67923,STARLINK-36406,43,93.85,43,0.0699997,0
2026-03-29,67958,STARLINK-36799,43,92.92,43,0.0699997,0
2026-03-29,57050,STARLINK-5845,43,94.69,43,-0.0699997,0
2026-03-29,67927,STARLINK-36728,43,94.27,43,0.0699997,0
2026-03-29,67932,STARLINK-36301,43,93.29,43,0.0699997,0
2026-03-29,57441,STARLINK-30160,43,95.35,43,0.0699997,0
2026-03-29,68009,STARLINK-36956,43,93.95,43,0.0699997,0
2026-03-29,68006,STARLINK-36889,43,93.97,43,0.0699997,0
2026-03-29,58003,STARLINK-30546,43,92.85,43,-0.0600052,0
2026-03-29,67958,STARLINK-36799,43,93.08,43,0.0600052,0
2026-03-29,67988,STARLINK-36734,43,93.16,43,0.0600052,0
2026-03-29,56529,STARLINK-6307,43,94.45,43,-0.0600052,0
2026-03-29,67990,STARLINK-36951,43,93.83,43,0.0600052,0
2026-03-29,67990,STARLINK-36951,43,93.91,43,0.0600052,0
2026-03-29,67993,STARLINK-36975,43,93.26,43,0.0600052,0
2026-03-29,67932,STARLINK-36301,43,93.37,43,0.0600052,0
2026-03-29,56116,STARLINK-6114,43,94.42,43,-0.0600052,0
2026-03-29,67942,STARLINK-36914,43,93.16,43,0.0600052,0
2026-03-29,67925,STARLINK-36726,43,94.16,43,0.0600052,0
2026-03-29,67998,STARLINK-36988,43,93.44,43,0.0600052,0
2026-03-29,67997,STARLINK-36994,43,93.33,43,0.0600052,0
2026-03-29,67999,STARLINK-36926,43,93.3,43,0.0600052,0
2026-03-29,56413,STARLINK-6258,43,94.38,43,-0.0600052,0
2026-03-29,67994,STARLINK-36993,43,94.07,43,0.0599976,0
2026-03-29,67925,STARLINK-36726,43,94.02,43,0.0599976,0
2026-03-29,68009,STARLINK-36956,43,93.86,43,0.0599976,0
2026-03-29,59615,STARLINK-31761,43,91.23,42.99,-0.0599976,0
2026-03-29,67994,STARLINK-36993,43,93.99,43,0.0599976,0
2026-03-29,68012,STARLINK-36936,43,93.61,43,0.0599976,0
2026-03-29,58003,STARLINK-30546,43,92.96,43,-0.0599976,0
2026-03-29,67925,STARLINK-36726,43,94.22,43,0.0599976,0
2026-03-29,68006,STARLINK-36889,43,93.88,43,0.0599976,0
2026-03-29,56293,STARLINK-30090,43,91.15,43,-0.0599976,0
2026-03-29,68014,STARLINK-36985,43,94.22,43,0.0599976,0
2026-03-29,56036,STARLINK-5790,43,94.33,43,-0.0599976,0
2026-03-29,68008,STARLINK-36911,43,93.99,43,0.0599976,0
2026-03-29,67988,STARLINK-36734,43,93.24,43,0.0599976,0
2026-03-29,67990,STARLINK-36951,43,93.74,43,0.0599976,0
2026-03-29,67932,STARLINK-36301,43,93.2,43,0.0599976,0
2026-03-29,55471,STARLINK-5711,43,94.33,43,-0.0599976,0
2026-03-29,57749,STARLINK-30366,43,94.89,43,-0.0599976,0
2026-03-29,67946,STARLINK-36909,43,92.97,43,0.0599976,0
2026-03-29,67925,STARLINK-36726,43,94.1,43,0.0599976,0
2026-03-29,57373,STARLINK-6370,43,95.33,43,-0.0599976,0
2026-03-29,67996,STARLINK-36979,43,94.14,43,0.0599976,0
2026-03-29,67942,STARLINK-36914,43,92.99,43,0.0599976,0
2026-03-29,67833,STARLINK-36659,43,94.14,43,-0.0599976,0
2026-03-29,68012,STARLINK-36936,43,93.52,43,0.0599976,0
2026-03-29,67997,STARLINK-36994,43,93.25,43,0.0599976,0
2026-03-29,68008,STARLINK-36911,43,94.07,43,0.0599976,0
2026-03-29,67958,STARLINK-36799,43,93,43,0.0599976,0
2026-03-29,68000,STARLINK-36931,43,93.64,43,0.0599976,0
2026-03-29,54828,STARLINK-5381,43,94.39,43,-0.0500031,0
2026-03-29,56894,STARLINK-6144,43,95.29,43,0.0500031,0
2026-03-29,56889,STARLINK-6169,43,94.67,43,-0.0500031,0
2026-03-29,67834,STARLINK-36655,43,94.17,43,-0.0500031,0
2026-03-29,56515,STARLINK-5348,43,94.34,43,-0.0500031,0
2026-03-29,56506,STARLINK-5340,43,94.63,43,-0.0500031,0
2026-03-29,56505,STARLINK-5763,43,94.39,43,-0.0500031,-0.00999832
2026-03-29,56419,STARLINK-5350,43,94.53,43,-0.0500031,0
2026-03-29,56400,STARLINK-6267,43,94.34,43,-0.0500031,0
2026-03-29,56293,STARLINK-30090,43,91.21,43,-0.0500031,0
2026-03-29,56032,STARLINK-5786,43,94.43,43,-0.0500031,0
2026-03-29,56021,STARLINK-5907,43,94.34,43,-0.0500031,0
2026-03-29,67921,STARLINK-36405,43,94.19,43,0.0500031,0
2026-03-29,55375,STARLINK-5588,43,95.37,43,0.0500031,0
2026-03-29,55359,STARLINK-5641,43,95.29,43,0.0500031,0
2026-03-29,54853,STARLINK-5427,43,94.27,43,-0.0500031,0
2026-03-29,59231,STARLINK-31304,43,90.14,42.98,-0.0500031,0
2026-03-29,63898,STARLINK-34120,43,94.32,43,0.0500031,0
2026-03-29,58598,STARLINK-31079,43,93.3,42.98,0,-0.0100021
2026-03-29,67449,STARLINK-36519,43,94.27,42.99,0,-0.0199966
2026-03-29,46338,STARLINK-1752,53,87.73,53.02,-0.309998,0
2026-03-29,68059,STARLINK-36917,53,91.42,53.16,-0.260002,0
2026-03-29,68092,STARLINK-36896,53,91.59,53.16,0.179993,0
2026-03-29,48640,STARLINK-2736,53,93.94,53.16,-0.169998,0
2026-03-29,45413,STARLINK-1298,53,88.33,53.02,-0.169998,0
2026-03-29,65837,STARLINK-35314,53,94.24,53.16,0.159996,0
2026-03-29,46338,STARLINK-1752,53,88.04,53.02,-0.150002,0
2026-03-29,46038,STARLINK-1567,53,92.6,53.09,-0.150002,0
2026-03-29,68063,STARLINK-37000,53,91.42,53.16,0.139999,0
2026-03-29,46533,STARLINK-1648,53,88.81,53.03,-0.139999,0
2026-03-29,47572,STARLINK-1971,53,89.37,53.03,-0.129997,0
2026-03-29,68096,STARLINK-36328,53,91.1,53.16,-0.120003,0
2026-03-29,68063,STARLINK-37000,53,91.28,53.16,-0.120003,0
2026-03-29,49423,STARLINK-3149,53,88.93,53.21,-0.110001,0
2026-03-29,46070,STARLINK-1536,53,95.43,53.06,-0.110001,0
2026-03-29,45413,STARLINK-1298,53,88.22,53.02,-0.110001,0
2026-03-29,53150,STARLINK-4038,53,88.72,53.19,-0.110001,0
2026-03-29,46082,STARLINK-1578,53,95.43,53.05,-0.110001,-0.0100021
2026-03-29,68248,STARLINK-36997,53,91.41,53.16,0.110001,0
2026-03-29,47825,STARLINK-2410,53,94.1,53.16,-0.0999985,0
2026-03-29,44758,STARLINK-1053,53,89.38,53.02,-0.090004,0
2026-03-29,46342,STARLINK-1762,53,94.07,53.16,-0.090004,0
2026-03-29,60139,STARLINK-31867,53,89.6,53.13,-0.090004,0
2026-03-29,47825,STARLINK-2410,53,94.2,53.16,0.0899963,0
2026-03-29,66402,STARLINK-35644,53,93,53.16,-0.0899963,0
2026-03-29,66402,STARLINK-35644,53,93.11,53.16,-0.0899963,0
2026-03-29,68243,STARLINK-36345,53,91.28,53.16,0.0899963,0
2026-03-29,66402,STARLINK-35644,53,92.89,53.16,-0.0800018,0
2026-03-29,68243,STARLINK-36345,53,91.37,53.16,0.0800018,0
2026-03-29,68251,STARLINK-36274,53,91.25,53.16,0.0800018,0
2026-03-29,68248,STARLINK-36997,53,91.22,53.16,0.0800018,0
2026-03-29,68237,STARLINK-37095,53,91.3,53.16,0.0800018,0
2026-03-29,68237,STARLINK-37095,53,91.4,53.16,0.0800018,0
2026-03-29,68088,STARLINK-37059,53,91.32,53.16,0.0800018,0
2026-03-29,45413,STARLINK-1298,53,88.14,53.02,-0.0800018,0
2026-03-29,67874,STARLINK-36730,53,92.66,53.16,0.0700073,0
2026-03-29,67871,STARLINK-36769,53,92.45,53.16,0.0699997,0
2026-03-29,67854,STARLINK-36608,53,92.34,53.16,0.0699997,0
2026-03-29,67862,STARLINK-36332,53,92.64,53.16,0.0699997,0
2026-03-29,67857,STARLINK-36828,53,92.27,53.16,0.0699997,-0.00999832
2026-03-29,67861,STARLINK-36325,53,92.67,53.16,0.0699997,0
2026-03-29,67869,STARLINK-36779,53,92.77,53.16,0.0699997,0
2026-03-29,67860,STARLINK-35873,53,92.78,53.16,0.0699997,0
2026-03-29,67868,STARLINK-36762,53,92.68,53.16,0.0699997,0
2026-03-29,53150,STARLINK-4038,53,88.65,53.19,-0.0699997,0
2026-03-29,67863,STARLINK-36835,53,92.62,53.16,0.0699997,0
2026-03-29,68088,STARLINK-37059,53,91.42,53.16,0.0699997,0
2026-03-29,68093,STARLINK-36251,53,91.01,53.16,-0.0699997,0
2026-03-29,67853,STARLINK-36785,53,92.46,53.16,0.0699997,0
2026-03-29,67878,STARLINK-36689,53,92.68,53.16,0.0699997,0
2026-03-29,67864,STARLINK-36831,53,92.77,53.16,0.0699997,0
2026-03-29,67867,STARLINK-36761,53,92.61,53.16,0.0699997,0
2026-03-29,67859,STARLINK-36393,53,92.32,53.16,0.0699997,0
2026-03-29,47621,STARLINK-1609,53,93.69,53.16,-0.0699997,0
