norad_id,name,constellation,orbit_type,maneuver_type,delta_period_min,delta_inclination,delta_eccentricity,curr_period_min,curr_inclination,curr_eccentricity,prev_fetched_at,curr_fetched_at,prev_epoch,curr_epoch
47958,2021-022AC,"",LEO,ALTITUDE_CHANGE,-0.0699997,0,-0.000129,91.32,97.39,0.000101,2026-03-31 04:08:00+00,2026-04-03 15:11:00+00,26089.60918604,26093.10083505
60086,ASTRA 1P (SES-24),"",GEO,ALTITUDE_CHANGE,0.0699463,0,-2.5e-05,1436.1,0.07,0.00028,2026-04-02 20:58:00+00,2026-04-03 21:14:00+00,26092.22267053,26092.89656090
56564,BEIDOU-3 G4 (C62),BeiDou,GEO,ALTITUDE_CHANGE,-4.81006,0,-0.001947,1436.08,0.61,0.000229,2026-04-01 08:59:00+00,2026-04-02 05:15:00+00,26085.57591177,26087.21580603
44337,BEIDOU-3 IGSO-2 (C39),BeiDou,GEO,ALTITUDE_CHANGE,-0.639893,0,3.1e-05,1435.81,55.23,0.003904,2026-03-28 17:37:00+00,2026-04-01 08:59:00+00,26057.68879618,26086.82285878
34464,COSMOS 2251 DEB,COSMOS,LEO,ALTITUDE_CHANGE,-0.0800018,0,6.99982e-06,91.97,73.98,0.002218,2026-04-02 20:58:00+00,2026-04-03 21:14:00+00,26092.27430427,26093.29712335
44850,COSMOS 2544 (759),COSMOS,MEO,ALTITUDE_CHANGE,0.0500488,-0.00999451,-0.00025,675.78,65.51,0.001308,2026-04-01 08:59:00+00,2026-04-03 13:10:00+00,26087.31632793,26092.47821141
25867,CXO,"",HEO,ALTITUDE_CHANGE,0.48999,0.0200005,-0.00039798,3808.98,54.98,0.795304,2026-04-01 02:57:00+00,2026-04-03 09:09:00+00,26092.68652473,26095.33038449
41589,EUTELSAT 117 WEST B,"",GEO,ALTITUDE_CHANGE,-0.0900879,-0.02,-3.2e-05,1436.08,0.01,2.9e-05,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.64172874,26093.22610752
36684,FENGYUN 1C DEB,"",LEO,ALTITUDE_CHANGE,-0.0899963,0,-0.000187,94.94,99.44,0.001045,2026-03-30 21:50:00+00,2026-04-03 09:09:00+00,26087.78477275,26092.60285773
30613,FENGYUN 1C DEB,"",LEO,ALTITUDE_CHANGE,-0.0599976,0,-7.2e-05,92.23,98.28,0.001101,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.59642023,26093.10930028
30602,FENGYUN 1C DEB,"",LEO,ALTITUDE_CHANGE,-0.0699997,0,1.30001e-05,94.24,99.02,0.001689,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.49656346,26093.29893627
60503,FLOCK 4BE-10,"",LEO,ALTITUDE_CHANGE,-0.0699997,0,3.4e-05,90.33,97.36,0.000593,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.69318656,26093.19552916
43823,GEO-KOMPSAT-2A,"",GEO,ALTITUDE_CHANGE,-0.100098,0.04,-3.9e-05,1436.07,0.05,0.000181,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.56157527,26093.24003149
45246,GEO-KOMPSAT-2B,"",GEO,ALTITUDE_CHANGE,-0.0600586,0,-2.99999e-06,1436.07,0.05,0.000132,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.56157527,26093.24003149
42695,GSAT-9,"",GEO,ALTITUDE_CHANGE,-0.130005,0,5.1e-05,1436.03,0.04,0.000294,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.76942038,26093.05459352
42814,HELLAS-SAT 3,"",GEO,ALTITUDE_CHANGE,0.109985,0,-2.6e-05,1436.14,0.06,0.000523,2026-04-02 16:56:00+00,2026-04-03 09:09:00+00,26091.97683615,26092.75789368
59069,HULIANWAN GAOGUI-01 (H*),"",GEO,ALTITUDE_CHANGE,-0.319946,0,2.1e-05,1435.87,0.07,0.000452,2026-04-02 12:55:00+00,2026-04-02 20:58:00+00,26091.68717569,26092.21711560
60327,HULIANWAN GAOGUI-02 (H*),"",GEO,ALTITUDE_CHANGE,-0.0600586,0.03,5.00004e-06,1436.12,0.05,0.000837,2026-03-28 17:37:00+00,2026-04-01 08:59:00+00,26084.15222133,26090.60808564
40882,INMARSAT 5-F3,"",GEO,ALTITUDE_CHANGE,0.109985,0,5e-06,1436.17,0.02,0.000115,2026-04-02 09:19:00+00,2026-04-03 09:09:00+00,26091.62753213,26092.82405844
42698,INMARSAT 5-F4,"",GEO,ALTITUDE_CHANGE,0.0999756,0,-2e-05,1436.21,0.02,1.2e-05,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.61866133,26092.99628165
44476,INTELSAT 39 (IS-39),"",GEO,ALTITUDE_CHANGE,0.0600586,0,1e-05,1436.18,0.02,4.4e-05,2026-04-02 20:58:00+00,2026-04-03 09:09:00+00,26092.20044785,26092.61978800
66911,ISS OBJECT XX,"",LEO,ALTITUDE_CHANGE,-0.0500031,0,4.99992e-06,90.25,51.62,0.001066,2026-04-03 09:09:00+00,2026-04-03 13:10:00+00,26092.56465564,26092.94054922
41903,JCSAT-110A (JCSAT-15),"",GEO,ALTITUDE_CHANGE,0.0500488,0,4e-06,1436.15,0.02,9.1e-05,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91450097,26093.24558644
29045,JCSAT-5A,"",GEO,ALTITUDE_CHANGE,-0.0699463,0,-1.8e-05,1436.06,0.91,0.000184,2026-04-03 09:09:00+00,2026-04-03 13:10:00+00,26092.85253009,26092.91892099
